HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	CHECKSUM	GENOMIC_REFERENCE_URL	GENOME_ANNOTATION_URL	PROTOCOL_LINK	SEQUENCING_BATCH_ID	TECHNICAL_REPLICATE_GROUP	LIBRARY_PREPARATION_DAYS_FROM_INDEX	SOMATIC_VARIANTS_SAMPLE_TYPE	SOMATIC_VARIANTS_WORKFLOW_TYPE	SOMATIC_VARIANTS_WORKFLOW_URL	GERMLINE_VARIANTS_WORKFLOW_TYPE	GERMLINE_VARIANTS_WORKFLOW_URL	STRUCTURAL_VARIANT_WORKFLOW_TYPE	STRUCTURAL_VARIANT_WORKFLOW_URL	MSI_SCORE	MSI_STATUS	MSI_WORKFLOW_LINK	WORKFLOW_LINK
HTA200_1001_D1	HTA200_1001_B1	sample001_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	a1b2c3d4e5f6	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_001	TECH_REP_001	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.85	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA200_1002_D2	HTA200_1002_B2	sample002_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh38	abc123def456	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_001	TECH_REP_001	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	15.2	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA200_1003_D3	HTA200_1003_B3	sample003_variants.vcf.gz	vcf.gz	Single-end	ILLUMINA	2.0.5	GRCh37	xyz789ghi012	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_001	TECH_REP_001	7	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.1.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.1.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	1.2	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.0.5
HTA201_2001_D1	HTA201_2001_B1	sample004_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	qwe456rty789	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_002	TECH_REP_002	14	Normal	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.5	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/gatk:2.1.0
HTA201_2002_D2	HTA201_2002_B2	sample005_variants.vcf	vcf	Paired-end	ION_TORRENT	1.8.3	GRCh38	hij789klm012	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-ion-torrent-protocol	BATCH_002	TECH_REP_002	21	Metastatic	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	22.5	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/ion-torrent:1.8.3
HTA202_3001_D1	HTA202_3001_B1	sample006_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	asd123fgh456	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_003	TECH_REP_003	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	3.8	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA202_3002_D2	HTA202_3002_B2	sample007_variants.vcf.gz	vcf.gz	Single-end	OXFORD_NANOPORE	3.0.1	GRCh38	zxc789vbn012	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-nanopore-protocol	BATCH_003	TECH_REP_004	28	Recurrent	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.6	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/nanopore:3.0.1
HTA203_4001_D1	HTA203_4001_B1	sample008_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh37	nop345qrs678	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_004	TECH_REP_001	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.45	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA203_4002_D2	HTA203_4002_B2	sample009_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	poi098lkj765	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_004	TECH_REP_001	7	Primary	VarScan2	https://github.com/dkoboldt/varscan/releases/tag/2.4.4	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.7	Unknown	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/varscan:2.1.0
HTA204_5001_D1	HTA204_5001_B1	sample010_variants.vcf.gz	vcf.gz	Paired-end	PACBIO_SMRT	2.5.0	GRCh38	tuv901wxy234	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-pacbio-protocol	BATCH_005	TECH_REP_005	35	Normal	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.32	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/pacbio:2.5.0
HTA204_5002_D2	HTA204_5002_B2	sample011_variants.vcf	vcf	Single-end	ILLUMINA	2.1.0	GRCh38	mnb345vfr678	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_005	TECH_REP_001	14	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	8.7	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA205_6001_D1	HTA205_6001_B1	sample012_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	cde567ujm890	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_006	TECH_REP_006	0	Metastatic	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	18.9	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.2.0
HTA205_6002_D2	HTA205_6002_B2	sample013_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	zab678cde901	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_006	TECH_REP_006	7	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.4	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.2.0
HTA206_7001_D1	HTA206_7001_B1	sample014_variants.vcf	vcf	Single-end	ILLUMINA	2.0.5	GRCh37	wer234sdf567	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_007	TECH_REP_001	21	Other	VarScan2	https://github.com/dkoboldt/varscan/releases/tag/2.4.4	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.1.0.0	Delly	https://github.com/dellytools/delly/releases/tag/v0.9.1	2.1	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/varscan:2.0.5
HTA206_7002_D2	HTA206_7002_B2	sample015_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.1.0	GRCh38	bnm678hjk901	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_007	TECH_REP_001	28	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.58	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA207_8001_D1	HTA207_8001_B1	sample016_variants.vcf.gz	vcf.gz	Paired-end	ION_TORRENT	1.8.3	GRCh38	fgh345jkl678	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-ion-torrent-protocol	BATCH_008	TECH_REP_007	14	Normal	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.8	Unknown	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/ion-torrent:1.8.3
HTA207_8002_D2	HTA207_8002_B2	sample017_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh38	qaz123wsx456	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_008	TECH_REP_001	42	Recurrent	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	11.3	MSI-H	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA208_9001_D1	HTA208_9001_B1	sample018_variants.vcf.gz	vcf.gz	Single-end	ILLUMINA	2.1.0	GRCh38	edc098ijn765	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_009	TECH_REP_001	0	Primary	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.71	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
HTA208_9002_D2	HTA208_9002_B2	sample019_variants.vcf.gz	vcf.gz	Paired-end	ILLUMINA	2.2.0	GRCh38	yhn456ujm789	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26/	https://ftp.ensembl.org/pub/release-104/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_009	TECH_REP_008	14	Primary	VarScan2	https://github.com/dkoboldt/varscan/releases/tag/2.4.4	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.3.0.0	Delly	https://github.com/dellytools/delly/releases/tag/v0.9.1	5.6	MSI-L	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/varscan:2.2.0
HTA209_10001_D1	HTA209_10001_B1	sample020_variants.vcf	vcf	Paired-end	ILLUMINA	2.1.0	GRCh37	rfv234tgb567	https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25/	https://ftp.ensembl.org/pub/release-87/gtf/homo_sapiens/	https://protocols.io/view/wes-illumina-protocol	BATCH_010	TECH_REP_001	21	Metastatic	Mutect2	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	GATK_HaplotypeCaller	https://github.com/broadinstitute/gatk/releases/tag/4.2.0.0	Manta	https://github.com/Illumina/manta/releases/tag/v1.6.0	0.55	MSS	https://github.com/ding-lab/msisensor/releases/tag/v0.5	https://dockstore.org/workflows/mutect2:2.1.0
