HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	SPECIES	LICENSE	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	IMAGING_SOFTWARE	IMAGING_PROTOCOL	CITATION_OR_DOI	HAS_ANNOTATIONS	ANNOTATION_TYPE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	PASSED_QC	QC_COMMENT
HTA200_1001_D1	HTA200_1001_B1	slide001.ome.tif	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Leica	Aperio GT 450	Leica N Plan 20x/0.40	20	0.40	Air	Aperio ImageScope	https://protocols.io/view/hne-staining-protocol-abc123	https://doi.org/10.1234/example.001	true	Tissue	true	true	true	Automatic	Automated redaction of PHI using proprietary algorithms	Aperio Redaction Tool	true	High quality H&E slide
HTA201_2002_D2	HTA201_2002_B2	slide002.ome.tiff	ome-tiff	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Scan.Z1	Zeiss Plan-Apochromat 40x/1.4	40	1.4	Oil	ZEN Blue	https://protocols.io/view/ihc-protocol-def456	https://doi.org/10.1234/example.002	true	Tissue	false	false	true	Manual	Manual review and redaction of all slide labels and metadata	HistoWiz	true	Good quality IHC staining
HTA202_3003_D3	HTA202_3003_B3	slide003.svs	svs	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer S60	Olympus UPlanSApo 20x/0.75	20	0.75	Air	NDP.scan	https://protocols.io/view/mihc-protocol-xyz789	https://doi.org/10.1234/example.003	false	Not Applicable	true	true	true	Semiautomatic	Semi-automated detection and masking of identifiable information	NDP.redact	true	Multiplex IHC panel complete
HTA203_4004_D4	HTA203_4004_B4	slide004.ome.tif	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Leica	DMi8	Leica HC PL APO 40x/1.30	40	1.30	Oil	LAS X	https://protocols.io/view/cycif-protocol-ghi789	https://doi.org/10.1234/example.004	true	Cell	true	true	true	Automatic	Automated PHI removal using machine learning algorithms	CellProfiler	true	CyCIF imaging complete
HTA204_5005_D5	HTA204_5005_B5	slide005.qptiff	qptiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	PerkinElmer	Vectra Polaris	PerkinElmer 40x/0.95	40	0.95	Air	inForm	https://protocols.io/view/hne-vectra-protocol-rst456	https://doi.org/10.1234/example.005	false	Not Applicable	false	false	true	Not Applicable	Not applicable - no PHI present in images	PerkinElmer	true	Standard H&E
HTA205_6006_D6	HTA205_6006_B6	slide006.tif	tiff	Pathological	SM	IMC	9606 (Homo sapiens)	CC BY 4.0	Fluidigm	Hyperion	Hyperion 40x objective	40	0.95	Air	MCD Viewer	https://protocols.io/view/imc-protocol-jkl012	https://doi.org/10.1234/example.006	true	Cell	true	true	true	Manual	Manual inspection and removal of all identifiable text	Fluidigm MCD Tools	true	IMC data acquired
HTA206_7007_D7	HTA206_7007_B7	slide007.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	Keyence	BZ-X810	Nikon CFI Plan Apo Lambda 20x/0.75	20	0.75	Air	CODEX Instrument Manager	https://protocols.io/view/codex-protocol-uvw123	https://doi.org/10.1234/example.007	true	ROI	false	false	true	Automatic	Automated redaction pipeline for CODEX imaging data	Akoya	true	CODEX multiplexing successful
HTA207_8008_D8	HTA207_8008_B8	slide008.svs	svs	Pathological	SM	t-CyCIF	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Scan.Z1	Zeiss Plan-Apochromat 20x/0.8	20	0.80	Air	ZEN	https://protocols.io/view/tcycif-protocol-opq456	https://doi.org/10.1234/example.008	false	Not Applicable	true	true	true	Semiautomatic	Combination of automated detection and manual verification	Zeiss Redaction Module	true	Tissue CyCIF completed
HTA208_9009_D9	HTA208_9009_B9	slide009.ome.tif	ome-tiff	Pathological	SM	MxIF	9606 (Homo sapiens)	CC BY 4.0	Leica	DMi8	Leica HC PL APO 60x/1.4	60	1.4	Oil	LAS X	https://protocols.io/view/mxif-protocol-mno345	https://doi.org/10.1234/example.009	true	Nucleus	true	true	true	Manual	Manual de-identification by trained personnel	Leica Privacy Tool	true	MxIF acquisition complete
HTA209_10010_D10	HTA209_10010_B10	slide010.ome.btf	ome-tiff	Pathological	SM	GeoMX-DSP	9606 (Homo sapiens)	CC BY 4.0	NanoString	GeoMx DSP	NanoString 20x objective	20	0.75	Air	GeoMx DSP Software	https://protocols.io/view/geomx-protocol-pqr678	https://doi.org/10.1234/example.010	true	ROI	false	false	true	Automatic	Automated removal of identifiers using NanoString pipeline	NanoString	true	GeoMX DSP regions selected
HTA210_11011_D11	HTA210_11011_B11	slide011.tiff	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer S210	Olympus UPlanFLN 10x/0.30	10	0.30	Air	NDP.view	https://protocols.io/view/hne-basic-stu901	https://doi.org/10.1234/example.011	false	Not Applicable	true	true	true	Not Applicable	Not applicable - no PHI in digital images	Hamamatsu	true	Low magnification overview
HTA211_12012_D12	HTA211_12012_B12	slide012.ome.tif	ome-tiff	Pathological	SM	MIBI	9606 (Homo sapiens)	CC BY 4.0	Ionpath	MIBIscope	MIBIscope 40x objective	40	0.95	Air	MIBItracker	https://protocols.io/view/mibi-protocol-hij789	https://doi.org/10.1234/example.012	true	Cell	true	true	true	Semiautomatic	Semi-automated PHI detection with manual verification	MIBIcontrol	true	MIBI imaging acquired
HTA212_13013_D13	HTA212_13013_B13	slide013.svs	svs	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Leica	Aperio AT2	Leica N Plan 20x/0.40	20	0.40	Air	Aperio ImageScope	https://protocols.io/view/ihc-standard-vwx234	https://doi.org/10.1234/example.013	true	Tissue	false	false	true	Automatic	Automated PHI removal using Aperio algorithms	Leica	true	IHC staining optimal
HTA213_14014_D14	HTA213_14014_B14	slide014.ome.tiff	ome-tiff	Pathological	SM	SABER	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Imager.Z2	Zeiss Plan-Apochromat 63x/1.4	63	1.4	Oil	ZEN Blue	https://protocols.io/view/saber-protocol-klm012	https://doi.org/10.1234/example.014	false	Not Applicable	true	true	true	Manual	Manual review and redaction of all metadata fields	Zeiss Privacy Suite	true	SABER probe hybridization complete
HTA214_15015_D15	HTA214_15015_B15	slide015.qptiff	qptiff	Pathological	SM	MERFISH	9606 (Homo sapiens)	CC BY 4.0	Vizgen	MERSCOPE	Vizgen 60x objective	60	1.2	Oil	Vizgen MERSCOPE	https://protocols.io/view/merfish-protocol-yza567	https://doi.org/10.1234/example.015	true	Cell	true	true	true	Automatic	Automated de-identification integrated in MERSCOPE workflow	Vizgen	true	MERFISH encoding rounds complete
HTA215_16016_D16	HTA215_16016_B16	slide016.tif	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Olympus	VS200	Olympus UPlanSApo 40x/0.95	40	0.95	Air	cellSens	https://protocols.io/view/hne-olympus-nop345	https://doi.org/10.1234/example.016	false	Not Applicable	false	false	true	Not Applicable	Not applicable - slides pre-processed without PHI	Olympus	true	Standard diagnostic H&E
HTA216_17017_D17	HTA216_17017_B17	slide017.ome.tif	ome-tiff	Pathological	SM	ExSeq	9606 (Homo sapiens)	CC BY 4.0	Nikon	Ti2-E	Nikon CFI Plan Apo Lambda 60x/1.4	60	1.4	Oil	NIS-Elements	https://protocols.io/view/exseq-protocol-bcd890	https://doi.org/10.1234/example.017	true	Nucleus	true	true	true	Semiautomatic	Semi-automated screening with manual confirmation	Nikon Privacy Module	true	ExSeq sequencing cycles complete
HTA217_18018_D18	HTA217_18018_B18	slide018.svs	svs	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer XR	Olympus UPlanSApo 20x/0.75	20	0.75	Air	NDP.view	https://protocols.io/view/mihc-hamamatsu-qrs678	https://doi.org/10.1234/example.018	true	Artifact	false	false	true	Manual	Manual de-identification by certified staff	Hamamatsu	true	Multiplex panel with some artifacts
HTA218_19019_D19	HTA218_19019_B19	slide019.ome.tiff	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Leica	Thunder Imager	Leica HC PL APO 20x/0.80	20	0.80	Air	LAS X AF	https://protocols.io/view/cycif-advanced-efg123	https://doi.org/10.1234/example.019	false	Not Applicable	true	true	true	Automatic	Automated PHI detection and removal pipeline	Leica	true	CyCIF autofluorescence imaging
HTA219_20020_D20	HTA219_20020_B20	slide020.ome.tf8	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Imager.Z2	Zeiss EC Plan-Neofluar 10x/0.30	10	0.30	Air	ZEN	https://protocols.io/view/hne-zeiss-tuv901	https://doi.org/10.1234/example.020	true	Tissue	true	true	true	Not Applicable	Not applicable - no identifiable information present	Zeiss	true	H&E tissue overview scan
