HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILE_FORMAT	FILENAME	IMAGING_ASSAY_TYPE	PHYSICAL_SIZE_X	PHYSICAL_SIZE_Y	PHYSICAL_SIZE_Z	SIZE_C	SIZE_T	SIZE_X	SIZE_Y	SIZE_Z	CHANNEL_METADATA_ID	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	STAINING_METHOD	IMAGING_SOFTWARE	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	WORKING_DISTANCE	PASSED_QC	QC_COMMENT	SPECIES	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	PYRAMID
HTA201_1001_D1	HTA201_1001_B1	ome-tiff	sample_001.ome.tiff	CyCIF	0.325	0.325	1.0	40	1	12000	10000	1	syn12345678	Pathological	Automatic	Automated de-identification using DeID-Tool	DeID-Tool v2.1	CC BY 4.0	SM	Zeiss	Axio Imager.Z2	https://doi.org/10.1234/example.2024.001	https://www.protocols.io/view/cycif-protocol-12345	CyCIF	ZEN Blue	Plan-Apochromat 20x/0.8	20	0.8	Air	0.55	TRUE	Passed all quality checks	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA201_1002_D2	HTA201_1002_B2	ome-tiff	sample_002.ome.tiff	CODEX	0.377	0.377	1.0	28	1	15000	12000	1	syn23456789	Pathological	Manual	Manual inspection and redaction of PHI	Not Applicable	CC BY 4.0	SM	Keyence	BZ-X810	https://doi.org/10.1234/example.2024.002	https://www.protocols.io/view/codex-protocol-12345	CODEX	CODEX Processor v1.5	CFI Plan Apo Lambda 20x	20	0.95	Oil	0.21	TRUE	Good image quality	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA202_2001_D3	HTA202_2001_B3	ome-tiff	sample_003.ome.tiff	t-CyCIF	0.65	0.65	1.0	60	1	8000	8000	1	syn34567890	Pathological	Semiautomatic	Semi-automated redaction using custom scripts	Not Applicable	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example.2024.003	https://www.protocols.io/view/tcycif-protocol-67890	t-CyCIF	NIS-Elements	Plan Fluor 10x/0.30	10	0.3	Air	15.2	TRUE	Excellent signal to noise	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA202_2002_D4	HTA202_2002_B4	tiff	sample_004.tiff	MxIF	0.5	0.5	2.0	15	1	10000	10000	5	syn45678901	Pathological	Not Applicable	Not Applicable	Not Applicable	CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example.2024.004	https://www.protocols.io/view/mxif-protocol-11111	MxIF	LAS X	HC PL APO 40x/1.30	40	1.3	Oil	0.24	TRUE	Minor edge artifacts	9606 (Homo sapiens)	FALSE	FALSE	FALSE
HTA203_3001_D5	HTA203_3001_B5	ome-tiff	sample_005.ome.tiff	IMC	1.0	1.0	1.0	32	1	2000	2000	1	syn56789012	Pathological	Automatic	Automated de-identification using Automatic-DeID	Automatic-DeID v3.0	CC BY 4.0	SM	Fluidigm	Hyperion	https://doi.org/10.1234/example.2024.005	https://www.protocols.io/view/imc-protocol-12345	IMC	MCD Viewer	Hyperion Imaging System	1	Not Applicable	Not Applicable	Not Applicable	TRUE	Complete dataset	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA203_3002_D6	HTA203_3002_B6	ome-tiff	sample_006.ome.tiff	MIBI	0.26	0.26	1.0	36	1	3000	3000	1	syn67890123	Pathological	Manual	Manual inspection and redaction of PHI	Not Applicable	CC BY 4.0	SM	IONpath	MIBIscope	https://doi.org/10.1234/example.2024.006	https://www.protocols.io/view/mibi-protocol-22222	MIBI	MIBItiff	Custom MIBI Objective	1	Not Applicable	Not Applicable	Not Applicable	TRUE	High quality MIBI data	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA204_4001_D7	HTA204_4001_B7	svs	sample_007.svs	H&E	0.25	0.25	1.0	3	1	50000	40000	1	syn78901234	Pathological	Not Applicable	Not Applicable	Not Applicable	CC BY 4.0	SM	Aperio	ScanScope XT	https://doi.org/10.1234/example.2024.007	https://www.protocols.io/view/he-protocol-12345	H&E	Aperio ImageScope	20x/0.75 Plan Apo	20	0.75	Air	0.60	TRUE	Standard H&E quality	9606 (Homo sapiens)	TRUE	TRUE	FALSE
HTA204_4002_D8	HTA204_4002_B8	ome-tiff	sample_008.ome.tiff	IHC	0.22	0.22	1.0	4	1	45000	35000	1	syn89012345	Pathological	Semiautomatic	Semi-automated de-identification workflow	Not Applicable	CC BY 4.0	SM	Hamamatsu	NanoZoomer S60	https://doi.org/10.1234/example.2024.008	https://www.protocols.io/view/ihc-protocol-33333	IHC	NDP.view2	Plan Apochromat 40x	40	0.95	Air	0.18	TRUE	Excellent staining	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA205_5001_D9	HTA205_5001_B9	ome-tiff	sample_009.ome.tiff	CODEX	0.377	0.377	1.0	45	1	20000	18000	1	syn90123456	Pathological	Automatic	Automated PHI removal pipeline	PHI-Remover v1.2	CC BY 4.0	SM	Keyence	BZ-X810	https://doi.org/10.1234/example.2024.009	https://www.protocols.io/view/codex-protocol-12345	CODEX	CODEX Processor v2.0	CFI Plan Apo Lambda 20x	20	0.95	Oil	0.21	TRUE	Complete CODEX run	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA205_5002_D10	HTA205_5002_B10	qptiff	sample_010.qptiff	CyCIF	0.325	0.325	1.0	35	1	30000	25000	1	syn01234567	Pathological	Manual	Manual review completed	Not Applicable	CC BY 4.0	SM	PerkinElmer	Vectra Polaris	https://doi.org/10.1234/example.2024.010	https://www.protocols.io/view/cycif-protocol-44444	CyCIF	inForm	Objective 20x/0.8	20	0.8	Air	0.55	TRUE	High quality multiplex	9606 (Homo sapiens)	TRUE	TRUE	FALSE
HTA206_6001_D11	HTA206_6001_B11	ome-tiff	sample_011.ome.tiff	mIHC	0.5	0.5	1.0	8	1	18000	16000	1	syn11234567	Pathological	Not Applicable	Not Applicable	Not Applicable	CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example.2024.011	https://www.protocols.io/view/mihc-protocol-55555	mIHC	LAS X	HC PL APO 20x/0.75	20	0.75	Air	0.61	TRUE	Good multiplex IHC	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA206_6002_D12	HTA206_6002_B12	ome-tiff	sample_012.ome.tiff	GeoMX-DSP	0.12	0.12	1.0	50	1	5000	5000	1	syn22345678	Pathological	Automatic	Automated de-identification using GeoMX-DeID	GeoMX-DeID v2.0	CC BY 4.0	SM	NanoString	GeoMX DSP	https://doi.org/10.1234/example.2024.012	https://www.protocols.io/view/geomx-protocol-12345	GeoMX-DSP	GeoMX DSP Software	Custom GeoMX Objective	1	Not Applicable	Not Applicable	Not Applicable	TRUE	Spatial profiling complete	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA207_7001_D13	HTA207_7001_B13	ome-tiff	sample_013.ome.tiff	CyCIF	0.65	0.65	1.0	42	1	14000	14000	1	syn33456789	Pathological	Manual	Manually redacted all identifiers	Not Applicable	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example.2024.013	https://www.protocols.io/view/cycif-protocol-66666	CyCIF	NIS-Elements	Plan Apo 10x/0.45	10	0.45	Air	5.8	TRUE	Complete CyCIF dataset	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA207_7002_D14	HTA207_7002_B14	tiff	sample_014.tiff	CODEX	0.377	0.377	1.0	30	1	16000	14000	1	syn44567890	Pathological	Semiautomatic	Semi-automated de-identification workflow	Not Applicable	CC BY 4.0	SM	Keyence	BZ-X810	https://doi.org/10.1234/example.2024.014	https://www.protocols.io/view/codex-protocol-12345	CODEX	CODEX Processor v1.5	CFI Plan Apo Lambda 20x	20	0.95	Oil	0.21	TRUE	Standard CODEX quality	9606 (Homo sapiens)	TRUE	TRUE	FALSE
HTA208_8001_D15	HTA208_8001_B15	ome-tiff	sample_015.ome.tiff	t-CyCIF	0.325	0.325	1.0	38	1	22000	20000	1	syn55678901	Pathological	Automatic	Automatic de-identification applied	AutoDeID v4.1	CC BY 4.0	SM	Zeiss	Axio Scan.Z1	https://doi.org/10.1234/example.2024.015	https://www.protocols.io/view/tcycif-protocol-77777	t-CyCIF	ZEN Blue	Plan-Apochromat 20x/0.8	20	0.8	Air	0.55	TRUE	Excellent tissue quality	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA208_8002_D16	HTA208_8002_B16	ome-tiff	sample_016.ome.tiff	MxIF	0.5	0.5	2.0	12	1	12000	12000	3	syn66789012	Pathological	Not Applicable	Not Applicable	Not Applicable	CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example.2024.016	https://www.protocols.io/view/mxif-protocol-88888	MxIF	LAS X	HC PL APO 40x/1.30	40	1.3	Oil	0.24	TRUE	Z-stack acquired	9606 (Homo sapiens)	FALSE	FALSE	TRUE
HTA209_9001_D17	HTA209_9001_B17	ome-tiff	sample_017.ome.tiff	IMC	1.0	1.0	1.0	40	1	2500	2500	1	syn77890123	Pathological	Manual	Manual inspection and redaction of PHI	Not Applicable	CC BY 4.0	SM	Fluidigm	Hyperion	https://doi.org/10.1234/example.2024.017	https://www.protocols.io/view/imc-protocol-12345	IMC	MCD Viewer	Hyperion Imaging System	1	Not Applicable	Not Applicable	Not Applicable	TRUE	Full IMC panel	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA209_9002_D18	HTA209_9002_B18	svs	sample_018.svs	IHC	0.25	0.25	1.0	5	1	40000	35000	1	syn88901234	Pathological	Semiautomatic	Semi-automated workflow for de-identification	Not Applicable	CC BY 4.0	SM	Aperio	ScanScope AT2	https://doi.org/10.1234/example.2024.018	https://www.protocols.io/view/ihc-protocol-99999	IHC	Aperio ImageScope	20x/0.75 Plan Apo	20	0.75	Air	0.60	TRUE	Good IHC staining	9606 (Homo sapiens)	FALSE	FALSE	FALSE
HTA210_1003_D19	HTA210_1003_B19	ome-tiff	sample_019.ome.tiff	CODEX	0.377	0.377	1.0	52	1	25000	22000	1	syn99012345	Pathological	Automatic	Automated de-identification using CODEX-DeID	CODEX-DeID v1.5	CC BY 4.0	SM	Keyence	BZ-X810	https://doi.org/10.1234/example.2024.019	https://www.protocols.io/view/codex-protocol-10101	CODEX	CODEX Processor v2.0	CFI Plan Apo Lambda 20x	20	0.95	Oil	0.21	TRUE	Large CODEX panel	9606 (Homo sapiens)	TRUE	TRUE	TRUE
HTA210_1004_D20	HTA210_1004_B20	ome-tiff	sample_020.ome.tiff	CyCIF	0.65	0.65	1.0	48	1	18000	16000	1	syn00123456	Pathological	Manual	Manual PHI redaction completed	Not Applicable	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example.2024.020	https://www.protocols.io/view/cycif-protocol-12345	CyCIF	NIS-Elements	Plan Apo 10x/0.45	10	0.45	Air	5.8	TRUE	Complete tissue section	9606 (Homo sapiens)	FALSE	FALSE	TRUE
