HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	IMAGING_ASSAY_TYPE	STAINING_METHOD	CHANNEL_METADATA_ID	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFIED	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	IMAGING_SOFTWARE	IMMERSION	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	WORKING_DISTANCE	PHYSICAL_SIZE_X	PHYSICAL_SIZE_Y	PHYSICAL_SIZE_Z	SIZE_X	SIZE_Y	SIZE_Z	SIZE_C	SIZE_T	PASSED_QC	QC_COMMENT	SPECIES	DE_IDENTIFICATION_SOFTWARE
HTA200_1_D1	HTA200_1_B1	image001.ome.tif	ome-tiff	CyCIF	CyCIF	syn12345678	Pathological	Automatic	PHI removed using automated pipeline	true	true	true	CC BY 4.0	SM	Zeiss	Axio Scan.Z1	https://doi.org/10.1234/example1	https://protocols.io/view/example1	ZEN Software	Oil	Plan-Apochromat 20x/0.8	20	0.8	0.55 um	0.325	0.325	1.0	10000	10000	1	10	1	true	All channels passed quality checks	9606 (Homo sapiens)	DeID Tool v1.0
HTA201_2_D2	HTA201_2_B2	image002.ome.tiff	ome-tiff	t-CyCIF	t-CyCIF	syn23456789	Pathological	Automatic	Automatic de-identification applied	true	false		CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example2	https://protocols.io/view/example2	LAS X	Oil	HC PL APO 40x/1.30	40	1.3	0.24 um	0.163	0.163	0.5	15000	15000	1	15	1	true	Good quality	9606 (Homo sapiens)	AutoDeID v2.1
HTA202_3_D3	HTA202_3_B3	image003.ome.tf2	ome-tiff	MxIF	MxIF	syn34567890	Pathological	Semiautomatic	Manual review after automatic processing	true	true	true	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example3	https://protocols.io/view/example3	NIS-Elements	Oil	CFI Plan Apo Lambda 60x/1.40	60	1.4	0.13 um	0.108	0.108	0.3	20000	20000	1	20	1	true	Excellent quality	9606 (Homo sapiens)	DeIdentify Pro
HTA203_4_D4	HTA203_4_B4	image004.ome.tf8	ome-tiff	mIHC	mIHC	syn45678901	Pathological	Semiautomatic	Semi-automatic de-identification process	true	false		CC BY 4.0	SM	Olympus	BX53	https://doi.org/10.1234/example4	https://protocols.io/view/example4	cellSens	Oil	UPLSAPO 100x/1.40	100	1.4	0.12 um	0.065	0.065	0.2	25000	25000	1	25	1	true	Passed all QC metrics	9606 (Homo sapiens)	PHI Remover
HTA204_5_D5	HTA204_5_B5	image005.ome.btf	ome-tiff	H&E	H&E	syn56789012	Pathological	Manual	Manual de-identification by trained staff	true	true	true	CC BY 4.0	SM	Hamamatsu	NanoZoomer S60	https://doi.org/10.1234/example5	https://protocols.io/view/example5	NDP.scan	Air	Plan Fluor 20x/0.75	20	0.75	0.60 um	0.230	0.230	1.0	12000	12000	1	3	1	true	No issues detected	9606 (Homo sapiens)	Manual DeID Tool
HTA205_6_D6	HTA205_6_B6	image006.tif	tiff	IHC	IHC	syn67890123	Pathological	Automatic	Automated scrubbing of identifiers	true	false		CC BY 4.0	SM	Zeiss	LSM 880	https://doi.org/10.1234/example6	https://protocols.io/view/example6	ZEN Black	Oil	Plan-Apochromat 63x/1.40	63	1.4	0.10 um	0.104	0.104	0.25	18000	18000	1	4	1	true	Quality verified	9606 (Homo sapiens)	AutoScrub v3.0
HTA206_7_D7	HTA206_7_B7	image007.tiff	tiff	IMC	IMC	syn78901234	Pathological	Semiautomatic	Semiautomatic method with manual verification	true	true	true	CC BY 4.0	SM	Fluidigm	Hyperion	https://doi.org/10.1234/example7	https://protocols.io/view/example7	MCD Viewer	Air	Standard Lens	20	0.5	1.00 um	1.0	1.0	1.0	8000	8000	1	35	1	true	All markers visible	9606 (Homo sapiens)	DeID Suite
HTA207_8_D8	HTA207_8_B8	image008.qptiff	qptiff	MIBI	MIBI	syn89012345	Pathological	Manual	Manual redaction of PHI	true	false		CC BY 4.0	SM	IonPath	MIBIscope	https://doi.org/10.1234/example8	https://protocols.io/view/example8	MIBItracker	Air	Custom Objective	40	0.8	0.30 um	0.5	0.5	1.0	9000	9000	1	30	1	true	Acceptable quality	9606 (Homo sapiens)	Manual Redaction Tool
HTA208_9_D9	HTA208_9_B9	image009.svs	svs	CODEX	CODEX	syn90123456	Pathological	Automatic	Automatic de-identification pipeline	true	true	true	CC BY 4.0	SM	Akoya	CODEX Instrument	https://doi.org/10.1234/example9	https://protocols.io/view/example9	CODEX Processor	Air	Objective Lens 20x	20	0.75	0.50 um	0.377	0.377	1.5	11000	11000	1	40	1	true	High quality imaging	9606 (Homo sapiens)	DeID Pipeline v1.5
HTA209_10_D10	HTA209_10_B10	image010.ome.tif	ome-tiff	GeoMX-DSP	GeoMX-DSP	syn01234567	Pathological	Semiautomatic	Semiautomatic de-identification	true	false		CC BY 4.0	SM	NanoString	GeoMx DSP	https://doi.org/10.1234/example10	https://protocols.io/view/example10	GeoMx Software	Air	Standard 20x	20	0.7	0.55 um	0.325	0.325	1.0	10000	10000	1	12	1	true	Quality control passed	9606 (Homo sapiens)	SemiAuto DeID
HTA210_11_D11	HTA210_11_B11	image011.ome.tiff	ome-tiff	ExSeq	ExSeq	syn12340001	Pathological	Manual	Manual de-identification procedure	true	true	true	CC BY 4.0	SM	Zeiss	Axio Imager.Z2	https://doi.org/10.1234/example11	https://protocols.io/view/example11	ZEN Pro	Water	Plan-Apochromat 20x/0.8	20	0.8	0.55 um	0.325	0.325	1.0	13000	13000	1	8	1	true	No artifacts detected	9606 (Homo sapiens)	Manual PHI Tool
HTA211_12_D12	HTA211_12_B12	image012.ome.tf2	ome-tiff	MERFISH	MERFISH	syn12340002	Pathological	Automatic	Automated de-identification system	true	false		CC BY 4.0	SM	Nikon	Eclipse Ti2	https://doi.org/10.1234/example12	https://protocols.io/view/example12	NIS-Elements AR	Oil	CFI Plan Apo 40x/0.95	40	0.95	0.21 um	0.163	0.163	0.5	14000	14000	1	18	1	true	Quality metrics met	9606 (Homo sapiens)	AutoDeID System
HTA212_13_D13	HTA212_13_B13	image013.ome.tf8	ome-tiff	SABER	SABER	syn12340003	Pathological	Semiautomatic	Semi-automatic process used	true	true	true	CC BY 4.0	SM	Leica	SP8	https://doi.org/10.1234/example13	https://protocols.io/view/example13	LAS X Navigator	Oil	HC PL APO 63x/1.40	63	1.4	0.10 um	0.104	0.104	0.25	16000	16000	1	22	1	true	Excellent signal quality	9606 (Homo sapiens)	SemiAuto Tool
HTA213_14_D14	HTA213_14_B14	image014.ome.btf	ome-tiff	CyCIF	CyCIF	syn12340004	Pathological	Automatic	Automatic PHI removal	true	false		CC BY 4.0	SM	Olympus	FV3000	https://doi.org/10.1234/example14	https://protocols.io/view/example14	FluoView	Oil	UPLSAPO 30x/1.05	30	1.05	0.28 um	0.217	0.217	0.8	17000	17000	1	16	1	true	Good image quality	9606 (Homo sapiens)	AutoRemove PHI
HTA214_15_D15	HTA214_15_B15	image015.tif	tiff	t-CyCIF	t-CyCIF	syn12340005	Pathological	Manual	Manual scrubbing of identifiers	true	true	true	CC BY 4.0	SM	Hamamatsu	C13440	https://doi.org/10.1234/example15	https://protocols.io/view/example15	HCImage	Glycerol	Plan Apo 20x/0.75	20	0.75	0.60 um	0.325	0.325	1.0	19000	19000	1	14	1	true	Passed quality control	9606 (Homo sapiens)	Manual Scrubber
HTA215_16_D16	HTA215_16_B16	image016.tiff	tiff	H&E	H&E	syn12340006	Pathological	Semiautomatic	Semi-automated de-identification	true	false		CC BY 4.0	SM	Zeiss	Celldiscoverer 7	https://doi.org/10.1234/example16	https://protocols.io/view/example16	ZEN Blue	Air	Plan-Apochromat 10x/0.45	10	0.45	2.00 um	0.650	0.650	2.0	21000	21000	1	3	1	true	Standard quality	9606 (Homo sapiens)	SemiAuto DeID v2
HTA216_17_D17	HTA216_17_B17	image017.qptiff	qptiff	IHC	IHC	syn12340007	Pathological	Automatic	Automated identifier removal	true	true	true	CC BY 4.0	SM	Nikon	A1R HD25	https://doi.org/10.1234/example17	https://protocols.io/view/example17	NIS-Elements C	Water	CFI Plan Fluor 10x/0.30	10	0.3	16.0 um	0.650	0.650	2.0	22000	22000	1	5	1	true	Quality acceptable	9606 (Homo sapiens)	AutoID Remover
HTA217_18_D18	HTA217_18_B18	image018.svs	svs	mIHC	mIHC	syn12340008	Pathological	Manual	Manual de-identification by expert	true	false		CC BY 4.0	SM	Akoya	PhenoImager HT	https://doi.org/10.1234/example18	https://protocols.io/view/example18	inForm Software	Air	Standard Objective	20	0.75	0.55 um	0.325	0.325	1.0	23000	23000	1	28	1	true	All channels clear	9606 (Homo sapiens)	Expert DeID Tool
HTA218_19_D19	HTA218_19_B19	image019.ome.tif	ome-tiff	MxIF	MxIF	syn12340009	Pathological	Semiautomatic	Semiautomatic method applied	true	true	true	CC BY 4.0	SM	Leica	Thunder Imager	https://doi.org/10.1234/example19	https://protocols.io/view/example19	LAS X Lightning	Oil	HC PL APO 20x/0.75	20	0.75	0.60 um	0.325	0.325	1.0	24000	24000	1	24	1	true	Quality verified	9606 (Homo sapiens)	SemiAuto PHI Tool
HTA219_20_D20	HTA219_20_B20	image020.ome.tiff	ome-tiff	CODEX	CODEX	syn12340010	Pathological	Automatic	Automated de-identification workflow	true	false		CC BY 4.0	SM	Olympus	IX83	https://doi.org/10.1234/example20	https://protocols.io/view/example20	cellSens Dimension	Water	UPLSAPO 40x/0.95	40	0.95	0.18 um	0.163	0.163	0.5	25000	25000	1	32	1	true	Quality standards met	9606 (Homo sapiens)	AutoDeID Workflow
