HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFIED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	STAINING_METHOD	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	PASSED_QC	QC_COMMENT	SPECIES	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	SEGMENTATION_WORKFLOW_TYPE	SEGMENTATION_METHOD	SEGMENTATION_ANNOTATION_TYPE	SEGMENTATION_PARAMETERS	SEGMENTATION_WORKFLOW_VERSION	SEGMENTATION_WORKFLOW_URL	IMAGING_SOFTWARE	DE_IDENTIFICATION_SOFTWARE
HTA200_1234_D1	HTA200_1234_B1	sample001.ome.tif	ome-tif	Pathologcal	Automatc	Automated redaction of PHI	true	CC BY 4.0	SM	 Zeiss 	Axio Scan.Z1	https://doi.org/10.1234/example1	https://protocols.io/view/example1	CODX	Plan-Apochromat 20x/0.8	20	0.8	Aire	true	Passed all QC checks	9606 (Homo sapien)	false		Automated segmentaton	CellPose	Cell	model=cyto2, diameter=30	v1.0.0	https://github.com/example/workflow1	ZEN Blue	RedactTool v1.0
HTA201_5678_D2	HTA201_5678_B2	sample002.ome.tiff	TIFF	pathological	automatic	Manual review and redacton	True	CC BY 4.0	sm	Leica Microsystems	Aperio GT 450	https://doi.org/10.1234/example2	https://protocols.io/view/example2	CyIF	HC PL APO 40x/1.30	40	1.30	Oill	TRUE	 Good quality image	9606(Homo sapiens)	true	yes	Semi-automated workflow	StarDist	Nucleus	model=2D_versatile_fluo	1.0.1	https://github.com/example/workflow2	LAS X	 ImageRedactor
HTA202_9012_D3	HTA202_9012_B3	sample003.ome.tf2	ome-tiff	Pathologic	Manuall	Manual redaction performed	false	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example3	https://protocols.io/view/example3	MERFSH	CFI Plan Apo Lambda 60x	sixty	1.40	Water	false	Minor artifacts present	9606 (Homo sapiens)	false		Manual segmentation	Ilastik	Cell	pixel_classification	v2.0	https://github.com/example/workflow3	NIS-Elements	ManualRedact
HTA203_3456_D4	HTA203_3456_B4	sample004 .ome.tif	ome-tiff	Pathological	Semiautomatc	Semi-automated de-identification	true	CC BY 4.0	SM	Olympus	FV3000	https://doi.org/10.1234/example4	https://protocols.io/view/example4	H&E	UPLSAPO 20X	20	0.75	Air	true	Excellent quality	9606 (Homo sapiens) 	true	True	Hybrid segmentation	QuPath	Tissue	threshold=0.5	v1.5	https://github.com/example/workflow4	FluoView	DeIDTool
HTA204_7890_D5	HTA204_7890_B5	sample005.ome.tiff	tif	Pathological	Not Aplicable		false	CC BY 4.0	SM	PerkinElmer	Vectra Polaris	https://doi.org/10.1234/example5	https://protocols.io/view/example5	IHC	20x/0.80 NA	20	0.80	Air	true	Good image quality	9606 (Homo sapiens)	false		Deep learning	Cellpose	Cell	model=nuclei	1.0	https://github.com/example/workflow5	inForm	
HTA205_1111_D6	HTA205_1111_B6	sample006.ome.tif	ome-tiff	Pathological	Automatic	Automatic PHI removal	true	CC BY 4.0	SM	Zeiss	LSM 980	https://doi.org/10.1234/example6	https://protocols.io/view/example6	IMC	Plan-Apochromat 40x	40	1.20	Glycrol	true	 Passed QC	9606 (Homo sapiens)	true	false	CNN-based segmentation	DeepCell	Nucleus	model=mesmer	v1.2	https://github.com/example/workflow6	ZEN	AutoRedact
HTA206_2222_D7	HTA206_2222_B7	sample007.ome.tiff	ome-tiff	Pathological	Manual	Manual de-identification	true	CC BY 4.0	SM	Leica	SP8	https://doi.org/10.1234/example7	https://protocols.io/view/example7	MxIF	HC PL APO 63x	63	1.40	Oil	true	High quality	9606 (Homo sapiens)	false		Watershed segmentation	Fiji/ImageJ	Cell	local_maxima	v1.0	https://github.com/example/workflow7	LAS AF	ManualTool
HTA207_3333_D8	HTA207_3333_B8	sample008.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automatic redaction	true	CC BY 4.0	SM	Nikon	A1R	https://doi.org/10.1234/example8	https://protocols.io/view/example8	MIBI	Plan Apo 20x	20	0.75	Air	true	Acceptable quality	9606 (Homo sapiens)	true	TRUE	Machine learning	CellProfiler	Cell	pipeline=segmentation.cppipe	v1.1	https://github.com/example/workflow8	NIS	SemiAutoRedact
HTA208_4444_D9	HTA208_4444_B9	sample009.ome.tiff	ome-tiff	Pathological	Automatic	Automated de-identification	true	CC BY 4.0	SM	Olympus	IX83	https://doi.org/10.1234/example9	https://protocols.io/view/example9	SABER	UPlanSApo 40x	40	0.95	Wter	true	Good	9606 (Homo sapiens)	false		Threshold-based	Otsu thresholding	Nucleus	threshold=auto	v1.0	https://github.com/example/workflow9	cellSens	AutoDeID
HTA209_5555_D10	HTA209_5555_B10	sample010.ome.tif	ome-tiff	Pathological	Manual	Manual review	true	CC BY 4.0	SM	Zeiss	Celldiscoverer 7	https://doi.org/10.1234/example10	https://protocols.io/view/example10	t-CyCIF	Plan-Apochromat 20x	20	0.80	Air	true	Excellent	9606 (Homo sapiens)	true	yes	Instance segmentation	Mask R-CNN	Cell	backbone=resnet50	v2.0	https://github.com/example/workflow10	ZEN	ManualReview
HTA210_6666_D11	HTA210_6666_B11	sample011.ome.tiff	ome-tiff	Pathological	Automatic	Automatic redaction	true	CC BY 4.0	SM	Leica	TCS SP5	https://doi.org/10.1234/example11	https://protocols.io/view/example11	ExSeq	HCX PL APO 40x	40	1.25	Oil	true	Very good	9606 (Homo sapiens)	false		Semantic segmentation	U-Net	Tissue	layers=4	v1.3	https://github.com/example/workflow11	LAS	AutoRedactor
HTA211_7777_D12	HTA211_7777_B12	sample012.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automated process	true	CC BY 4.0	SM	Nikon	Eclipse Ti	https://doi.org/10.1234/example12	https://protocols.io/view/example12	GeoMX-DSP	Plan Fluor 20x	20	0.50	Air	true	Acceptable	9606 (Homo sapiens)	true	True	Region-based	Watershed	ROI	markers=auto	v1.0	https://github.com/example/workflow12	NIS-E	SemiAuto
HTA212_8888_D13	HTA212_8888_B13	sample013.ome.tiff	ome-tiff	Pathological	Automatic	Automated PHI removal	true	CC BY 4.0	SM	Olympus	FV1200	https://doi.org/10.1234/example13	https://protocols.io/view/example13	mIHC	UPLSAPO 60X	60	1.35	Water	true	Good quality	9606 (Homo sapiens)	false		Pixel classification	Random Forest	Cell	n_estimators=100	v1.4	https://github.com/example/workflow13	FV10-ASW	AutoPHI
HTA213_9999_D14	HTA213_9999_B14	sample014.ome.tif	ome-tiff	Pathological	Manual	Manual PHI redaction	true	CC BY 4.0	SM	Zeiss	Axio Observer	https://doi.org/10.1234/example14	https://protocols.io/view/example14	CODEX	EC Plan-Neofluar 40x	40	0.75	Air	true	High quality	9606 (Homo sapiens)	true	false	Multi-scale segmentation	CellPose 2.0	Cell	model=cyto3	v2.0	https://github.com/example/workflow14	AxioVision	ManualPHI
HTA214_1234_D15	HTA214_1234_B15	sample015.ome.tiff	ome-tiff	Pathological	Automatic	Automatic de-identification	true	CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example15	https://protocols.io/view/example15	CyCIF	N PLAN 10x	10	0.25	Air	true	Passed	9606 (Homo sapiens)	false		Edge detection	Canny edge	Cell	sigma=1.0	v1.0	https://github.com/example/workflow15	LAS Core	AutoDeidentify
HTA215_5678_D16	HTA215_5678_B16	sample016.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automatic method	true	CC BY 4.0	SM	Nikon	C2 Plus	https://doi.org/10.1234/example16	https://protocols.io/view/example16	MERFISH	CFI Plan Apo 40x	40	0.95	Glycerol	true	Good	9606 (Homo sapiens)	true	TRUE	Contour detection	OpenCV	Nucleus	method=CHAIN_APPROX_SIMPLE	v1.0	https://github.com/example/workflow16	NIS-C	SemiAutomatic
HTA216_9012_D17	HTA216_9012_B17	sample017.ome.tiff	ome-tiff	Pathological	Automatic	Automated redaction	true	CC BY 4.0	SM	Olympus	BX53	https://doi.org/10.1234/example17	https://protocols.io/view/example17	H&E	UPlanFl 20x	20	0.50	Air	true	Acceptable	9606 (Homo sapiens)	false		Morphological segmentation	Morphology	Tissue	operation=opening	v1.0	https://github.com/example/workflow17	cellSens Dimension	AutoRedaction
HTA217_3456_D18	HTA217_3456_B18	sample018.ome.tif	ome-tiff	Pathological	Manual	Manual process	true	CC BY 4.0	SM	Zeiss	Elyra 7	https://doi.org/10.1234/example18	https://protocols.io/view/example18	IHC	Plan-Apochromat 63x	63	1.40	Oil	true	Excellent	9606 (Homo sapiens)	true	yes	Graph-based segmentation	Graph Cut	Cell	lambda=0.5	v1.2	https://github.com/example/workflow18	ZEN Black	ManualProcess
HTA218_7890_D19	HTA218_7890_B19	sample019.ome.tiff	ome-tiff	Pathological	Automatic	Automatic method	true	CC BY 4.0	SM	Leica	DM6000	https://doi.org/10.1234/example19	https://protocols.io/view/example19	IMC	HCX PL FLUOTAR 20x	20	0.40	Air	true	Good	9606 (Homo sapiens)	false		Level set segmentation	Active Contours	Nucleus	iterations=100	v1.0	https://github.com/example/workflow19	LAS V4	AutoMethod
HTA219_1111_D20	HTA219_1111_B20	sample020.ome.tif	ome-tiff	Pathological	Semiautomatic	Semi-automated workflow	true	CC BY 4.0	SM	Nikon	Ti-E	https://doi.org/10.1234/example20	https://protocols.io/view/example20	MxIF	Plan Apo 60x	60	1.40	Water	true	Very good	9606 (Homo sapiens)	true	True	Ensemble segmentation	Ensemble methods	Cell	models=3	v1.5	https://github.com/example/workflow20	NIS-Elements AR	SemiAutomated
